Id;Nome;Endereço;Telefone;Email;CPF;Data de Nascimento
00160;Maria Luiza Barbosa;"Lago de Cardoso
Xodo-Marize
59353-667 da Paz das Pedras / BA";71 2292-7106;sabrina63@example.org;506.387.129-12;2005-08-11
00161;Erick Souza;"Conjunto de da Rocha, 67
Santa Cecilia
62806-138 da Mata de Minas / PR";+55 31 2424 2515;rezendedavi-lucas@example.com;975.863.014-84;1980-07-09
00162;Luiz Gustavo Carvalho;"Parque Maria Vitória Martins, 2
Piratininga
72212-194 Pires de da Rosa / SC";+55 (011) 4909 4655;cardosomaria-eduarda@example.org;187.325.064-90;1993-05-07
00163;Vitor Hugo Melo;"Sítio Agatha Silva, 27
São João Batista
87615-599 da Mota do Sul / SE";(021) 8555 5618;rafaelacarvalho@example.com;285.091.637-40;1995-09-09
00164;Vitor Correia;"Condomínio Miguel Duarte, 22
Vila Calafate
43445718 Nunes / TO";61 6418-1934;rcardoso@example.org;324.675.819-00;1937-10-22
00165;Dr. Davi Lucca Rodrigues;"Estação Moraes
Savassi
44313-532 Silva / DF";0900-522-6593;stephanyfarias@example.com;641.273.958-00;1964-06-26
00166;Ana Julia da Luz;"Vereda de Melo, 97
Boa Viagem
59323-216 Martins Alegre / CE";+55 (011) 9143 2228;ffreitas@example.net;257.034.968-29;1990-07-21
00167;Dr. Henrique Azevedo;"Viela Nathan Viana
Santa Amelia
86458659 Farias do Amparo / BA";(031) 9587 4711;marcela47@example.org;597.861.320-68;1976-06-19
00168;Luigi Souza;"Rodovia de Araújo, 93
Aarão Reis
74039184 Jesus Alegre / AL";0500 711 3667;xnovaes@example.net;853.712.094-41;1960-10-18
00169;Bernardo da Mota;"Avenida Bryan Castro, 47
Vila Suzana Primeira Seção
79352-842 das Neves / BA";31 4691 2653;da-cruzeduarda@example.net;850.734.126-80;1941-04-26
00170;Bárbara Pereira;"Viela Fogaça, 261
Vila Nova Gameleira 2ª Seção
09970-588 Ribeiro da Serra / SE";0800 057 0478;da-rosamatheus@example.org;108.235.697-21;2006-05-24
00171;Alexia da Mota;"Loteamento de Pereira, 87
Conjunto Jatoba
97050-618 Santos / PE";+55 (071) 0438-2523;lorenamoura@example.org;579.023.861-03;1942-09-07
00172;Carlos Eduardo Nascimento;"Fazenda Emanuella Porto, 11
Inconfidência
57759267 da Mota do Campo / AL";(031) 6837-1623;enzonovaes@example.com;279.165.403-80;1982-03-27
00173;Theo Silva;"Travessa de Pinto, 491
Santo Agostinho
55793-571 Mendes / MT";84 3932 0034;luiz-felipe12@example.org;923.760.418-13;1999-05-10
00174;Dra. Alícia Alves;"Residencial Costa, 1
Tirol
93093751 Castro / RR";31 9049-0629;cardosoryan@example.org;743.905.861-57;1945-12-15
00175;Davi Jesus;"Chácara Mendes, 2
Vila Santo Antônio Barroquinha
48597-930 Barbosa do Amparo / SP";+55 (061) 1592 2557;gabriela58@example.org;941.638.507-75;1944-12-10
00176;Milena Melo;"Aeroporto da Rocha, 53
Santa Tereza
17383-294 Mendes / PB";(071) 3638 2896;fernandomonteiro@example.com;972.630.451-25;2004-08-23
00177;Lucas Gabriel da Rosa;"Viaduto de Martins, 27
Salgado Filho
11175095 Lima / RS";0800 162 0760;augusto98@example.com;531.964.027-70;1934-08-10
00178;Antônio Ferreira;"Aeroporto de das Neves, 11
Jaqueline
82670-350 Nunes da Prata / RO";+55 (011) 8122-7153;mvieira@example.com;659.430.821-15;1985-12-23
00179;Stella Barbosa;"Alameda de Mendes, 823
Vila Ecológica
26210587 Moreira / AC";0300-250-2885;joao-gabriel94@example.org;293.471.605-80;2001-06-08
00180;Marcelo Cunha;"Distrito Miguel Melo, 942
Maria Goretti
58540-377 da Paz / GO";0800 514 8665;alana13@example.net;257.891.406-02;1934-01-26
00181;Ana Beatriz da Mota;"Recanto de Moura, 80
Palmares
05734870 Correia / RO";21 2099 3001;ofreitas@example.net;053.427.196-07;1943-01-27
00182;Raul Silva;"Viaduto da Rocha, 433
Vila Santo Antônio
83202151 Cardoso da Prata / RO";+55 (041) 9131 9777;zda-paz@example.net;718.024.356-62;1969-05-25
00183;Maria Julia Costela;"Rua Viana, 11
Outro
44048235 Martins / PB";0300-866-5441;monteirojoao-vitor@example.com;215.476.093-70;1976-06-24
00184;Emanuella Pinto;"Lagoa Isabella Campos, 4
Baleia
29565277 Costa / MT";(061) 5417 2505;heitor14@example.com;539.074.182-04;1946-11-29
00185;Dr. Rodrigo Silva;"Favela da Paz, 483
Bela Vitoria
34527-067 Moura / DF";+55 (081) 9108-5102;mariapereira@example.com;392.076.485-47;1981-11-27
00186;Paulo Barbosa;"Distrito de Duarte, 263
Barreiro
45434435 Carvalho / PI";+55 84 5094 5085;freitasclara@example.net;187.530.462-26;1989-10-29
00187;Nicole Fogaça;"Fazenda Nunes, 4
Vila Piratininga
32361413 da Costa do Amparo / TO";(011) 3861 9858;eloahcardoso@example.net;146.857.032-35;1962-07-22
00188;Sra. Luiza da Rosa;"Condomínio de Dias, 61
Alípio De Melo
23935124 Souza de Fogaça / ES";(031) 7199 0545;marcelocavalcanti@example.com;629.537.401-80;1982-07-02
00189;Luiz Felipe Lopes;"Chácara Pedro Barbosa, 7
Guarani
70150441 Nogueira / ES";+55 (084) 4715 1570;mourakevin@example.net;180.325.764-44;1992-05-15
00190;Elisa Almeida;"Viela de Monteiro, 759
Santa Helena
90916-446 Freitas / MT";0800 791 6951;rafaelnunes@example.net;930.617.825-59;1970-12-10
00191;Sophia Nascimento;"Sítio Luiz Otávio Silva
Pindorama
75492-296 Farias do Campo / MS";71 0122-1782;nda-mota@example.org;712.350.689-86;1972-02-13
00192;Sr. Lucas Rezende;"Viaduto Lopes, 303
Colégio Batista
00805-541 Farias / RN";+55 61 2210-4827;maria-sophiada-mota@example.net;620.485.739-83;2000-08-22
00193;Erick Ribeiro;"Condomínio Lara Cavalcanti, 88
Suzana
99899-718 Silveira / RN";+55 (084) 7471-9838;ljesus@example.com;457.098.123-23;1959-11-22
00194;Eduarda Cunha;"Esplanada de Moraes, 23
Maravilha
95894-747 Gomes / MG";0900 045 2410;das-nevesbenjamin@example.org;703.418.625-17;1985-05-12
00195;Juliana Carvalho;"Área Yago da Conceição, 543
Betânia
68496014 Aragão / AC";+55 21 2912 7798;juliada-rosa@example.com;962.153.047-43;1960-07-09
00196;Luiza Barbosa;"Fazenda Luiz Henrique Sales, 818
Vila Do Pombal
33753090 Castro / SE";+55 41 9358 4557;ribeiromanuela@example.com;278.563.914-64;1987-12-28
00197;Dra. Yasmin Fogaça;"Rua de Aragão, 909
Itapoa
05941-199 da Paz do Amparo / TO";+55 41 8747 7664;qrodrigues@example.net;523.617.098-21;1948-01-19
00198;Dra. Julia da Mota;"Sítio Maria Cecília Gonçalves, 26
Conjunto Santa Maria
32424-976 Dias de Fernandes / MA";(011) 3116 9570;enzo00@example.com;673.059.284-29;1982-09-15
00199;Maria Julia Freitas;"Colônia Nina Novaes, 89
São Luiz
07314-685 Aragão / MT";(021) 7379-6554;kamillyrodrigues@example.org;293.086.574-10;1946-01-12
